hsmpSn,공급유형,원본행수,세대수_고유값수,세대수_고유값,대표세대수,세대수일관성,주소
30699581,국민임대,5,1,449,449,일치,전남광주통합특별시 남구 효우로60번길 9
30699582,국민임대,2,1,711,711,일치,전남광주통합특별시 북구 하서로483번길 22
30699662,국민임대,4,1,244,244,일치,전남광주통합특별시 광산구 송도로182번길 15-11
30699692,국민임대,3,1,384,384,일치,전남광주통합특별시 남구 효우로60번길 37
30699696,국민임대,1,1,137,137,일치,전남광주통합특별시 북구 우치로311번길 20
30699699,국민임대,1,1,70,70,일치,전남광주통합특별시 광산구 남동길30번길 28
30699710,국민임대,2,1,94,94,일치,전남광주통합특별시 북구 초당로 7
30699740,국민임대,1,1,183,183,일치,전남광주통합특별시 광산구 송도로182번길 15-12
30699741,국민임대,1,1,245,245,일치,전남광주통합특별시 서구 내방로418번길 12
30699742,국민임대,1,1,62,62,일치,전남광주통합특별시 북구 매곡로69번길 22
30699755,국민임대,1,1,214,214,일치,전남광주통합특별시 광산구 남동길 15
30699799,국민임대,2,1,10,10,일치,전남광주통합특별시 광산구 송정로 77
30700134,영구임대,3,1,1872,1872,일치,전남광주통합특별시 광산구 월곡산정로 12
30700135,영구임대,4,1,1274,1274,일치,전남광주통합특별시 북구 중문로 55
30700136,영구임대,3,1,1416,1416,일치,전남광주통합특별시 서구 쌍학로 47
30700137,영구임대,2,1,1401,1401,일치,전남광주통합특별시 북구 군왕로207번길 20
30700138,국민임대,6,1,949,949,일치,전남광주통합특별시 남구 정율성로 7
30700139,영구임대,4,1,1640,1640,일치,전남광주통합특별시 북구 삼정로 7
30700140,영구임대,2,1,1133,1133,일치,전남광주통합특별시 북구 삼정로 10
30700141,영구임대,3,1,1658,1658,일치,전남광주통합특별시 북구 서하로194번길 6
30700142,50년임대,1,1,476,476,일치,전남광주통합특별시 광산구 목련로273번길 76
30700143,국민임대,3,1,390,390,일치,전남광주통합특별시 광산구 수등로 204
30700144,50년임대,3,1,535,535,일치,전남광주통합특별시 북구 북문대로242번길 50
30700145,국민임대,4,1,632,632,일치,전남광주통합특별시 광산구 수등로123번길 70
30700233,국민임대,4,1,355,355,일치,전남광주통합특별시 남구 효우로60번길 50
30700238,국민임대,4,1,996,996,일치,전남광주통합특별시 광산구 수등로123번길 22
30700239,국민임대,4,1,1067,1067,일치,전남광주통합특별시 광산구 하남대로261번길 11
30700242,국민임대,4,1,603,603,일치,전남광주통합특별시 광산구 풍영로145번길 43
30700243,국민임대,3,1,355,355,일치,전남광주통합특별시 광산구 풍영로145번길 42
30700323,국민임대,4,1,1232,1232,일치,전남광주통합특별시 북구 첨단연신로 250
30700324,국민임대,5,1,676,676,일치,전남광주통합특별시 북구 첨단연신로 245
30700341,국민임대,6,1,1116,1116,일치,전남광주통합특별시 광산구 풍영로329번길 51
30700344,국민임대,7,1,1215,1215,일치,전남광주통합특별시 광산구 풍영로329번길 50
30700356,국민임대,2,1,754,754,일치,전남광주통합특별시 남구 백운로 100
30700358,국민임대,2,1,240,240,일치,전남광주통합특별시 남구 독립로80번길 8
30700363,국민임대,7,1,1147,1147,일치,전남광주통합특별시 광산구 선운중앙로 68
30700432,국민임대,2,1,672,672,일치,전남광주통합특별시 남구 효우로 262
30700432,영구임대,1,1,250,250,일치,전남광주통합특별시 남구 효우로 262
30701675,매입임대,6,1,8,8,일치,전남광주통합특별시 동구 무등로 489-1
30701676,매입임대,5,1,12,12,일치,전남광주통합특별시 동구 동명로20번길 2
30701677,매입임대,8,1,8,8,일치,전남광주통합특별시 동구 필문대로171번길 17-4
30702225,매입임대,4,1,6,6,일치,전남광주통합특별시 북구 대천로157번길 49
30702226,매입임대,2,1,6,6,일치,전남광주통합특별시 북구 대천로157번길 51
30702227,매입임대,2,1,5,5,일치,전남광주통합특별시 북구 무진성길 83
30702228,매입임대,2,1,6,6,일치,전남광주통합특별시 북구 부남길 42
30702229,매입임대,4,1,6,6,일치,전남광주통합특별시 북구 부남길 42-6
30702230,매입임대,2,1,6,6,일치,전남광주통합특별시 북구 부남길 46
30702231,매입임대,2,1,6,6,일치,전남광주통합특별시 북구 서하로315번길 51-9
30702232,매입임대,4,1,12,12,일치,전남광주통합특별시 북구 설죽로251번길 109-6
30702233,매입임대,4,1,12,12,일치,전남광주통합특별시 북구 설죽로251번길 109-8
30702234,매입임대,6,1,6,6,일치,전남광주통합특별시 북구 송월로49번길 15-5
30702235,매입임대,1,1,6,6,일치,전남광주통합특별시 북구 송월로49번길 15-8
30702236,매입임대,7,1,8,8,일치,전남광주통합특별시 북구 양일로344번길 42
30702237,매입임대,3,1,15,15,일치,전남광주통합특별시 북구 우치로361번길 25
30702238,매입임대,2,1,6,6,일치,전남광주통합특별시 광산구 목련로397번안길 8-14
30702239,매입임대,6,1,6,6,일치,전남광주통합특별시 광산구 산정공원로60번길 34
30702240,매입임대,2,1,6,6,일치,전남광주통합특별시 광산구 우산로95번길 47-7
30702241,매입임대,6,1,14,14,일치,전남광주통합특별시 광산구 월계로22번길 6
30702242,매입임대,6,1,6,6,일치,전남광주통합특별시 남구 봉선로 63-1
30702243,매입임대,7,1,7,7,일치,전남광주통합특별시 남구 금화로422번길 70
