hsmpSn,행수,세대수_고유값수,세대수_고유값,주소_고유값수,주소,공급유형_고유값수,공급유형,대표세대수_후보,세대수일관성
30700136,3,1,1416,1,전남광주통합특별시 서구 쌍학로 47,1,영구임대,1416,일치
30700137,2,1,1401,1,전남광주통합특별시 북구 군왕로207번길 20,1,영구임대,1401,일치
30700138,6,1,949,1,전남광주통합특별시 남구 정율성로 7,1,국민임대,949,일치
30700139,4,1,1640,1,전남광주통합특별시 북구 삼정로 7,1,영구임대,1640,일치
30700140,2,1,1133,1,전남광주통합특별시 북구 삼정로 10,1,영구임대,1133,일치
30700141,3,1,1658,1,전남광주통합특별시 북구 서하로194번길 6,1,영구임대,1658,일치
30700142,1,1,476,1,전남광주통합특별시 광산구 목련로273번길 76,1,50년임대,476,일치
30700143,3,1,390,1,전남광주통합특별시 광산구 수등로 204,1,국민임대,390,일치
30700144,3,1,535,1,전남광주통합특별시 북구 북문대로242번길 50,1,50년임대,535,일치
30700145,4,1,632,1,전남광주통합특별시 광산구 수등로123번길 70,1,국민임대,632,일치
30700233,4,1,355,1,전남광주통합특별시 남구 효우로60번길 50,1,국민임대,355,일치
30700238,4,1,996,1,전남광주통합특별시 광산구 수등로123번길 22,1,국민임대,996,일치
30700239,4,1,1067,1,전남광주통합특별시 광산구 하남대로261번길 11,1,국민임대,1067,일치
30700242,4,1,603,1,전남광주통합특별시 광산구 풍영로145번길 43,1,국민임대,603,일치
30700243,3,1,355,1,전남광주통합특별시 광산구 풍영로145번길 42,1,국민임대,355,일치
30700323,4,1,1232,1,전남광주통합특별시 북구 첨단연신로 250,1,국민임대,1232,일치
30700324,5,1,676,1,전남광주통합특별시 북구 첨단연신로 245,1,국민임대,676,일치
30700341,6,1,1116,1,전남광주통합특별시 광산구 풍영로329번길 51,1,국민임대,1116,일치
30700344,7,1,1215,1,전남광주통합특별시 광산구 풍영로329번길 50,1,국민임대,1215,일치
30700356,2,1,754,1,전남광주통합특별시 남구 백운로 100,1,국민임대,754,일치
30700358,2,1,240,1,전남광주통합특별시 남구 독립로80번길 8,1,국민임대,240,일치
30700363,7,1,1147,1,전남광주통합특별시 광산구 선운중앙로 68,1,국민임대,1147,일치
30700432,3,2,"250, 672",1,전남광주통합특별시 남구 효우로 262,2,영구임대 | 국민임대,,불일치
30701675,6,1,8,1,전남광주통합특별시 동구 무등로 489-1,1,매입임대,8,일치
