자치구,행정동,편의점_개수,편의점_최소거리_m,카페_개수,카페_최소거리_m,음식점_개수,음식점_최소거리_m,병원_개수,병원_최소거리_m,대형마트_개수,대형마트_최소거리_m,지하철역_개수,지하철역_최소거리_m,문화시설_개수,문화시설_최소거리_m,학원_개수,학원_최소거리_m,버스정류장_개수,버스정류장_최소거리_m,올리브영_개수,올리브영_최소거리_m,다이소_개수,다이소_최소거리_m,코인노래방_개수,코인노래방_최소거리_m,PC방_개수,PC방_최소거리_m,백화점_개수,백화점_최소거리_m,유니클로_개수,유니클로_최소거리_m,탑텐_개수,탑텐_최소거리_m,추가_H&B/뷰티_개수,추가_H&B/뷰티_최소거리_m,추가_생활쇼핑_개수,추가_생활쇼핑_최소거리_m,추가_SPA패션_개수,추가_SPA패션_최소거리_m,추가_영화/문화_개수,추가_영화/문화_최소거리_m,추가_대형쇼핑_개수,추가_대형쇼핑_최소거리_m,추가_운동_개수,추가_운동_최소거리_m,추가_문화생활_개수,추가_문화생활_최소거리_m,추가_패스트푸드_개수,추가_패스트푸드_최소거리_m,버스정류소_1500m_개수,가장가까운_버스정류소_m,주거비_연결법정동,매매거래건수,매매가격_중앙값_만원,총인구수,20대인구수,30대인구수,2030인구수,2030인구비율,공식조회자치구,전체거래건수,전세거래건수,월세거래건수,전세보증금_평균값_만원,월세보증금_평균값_만원,월세_평균값_만원,전체임대차보증금_평균값_만원,월환산주거비_평균값_만원,전용면적_평균값_m2,전세보증금_중앙값_만원,월세보증금_중앙값_만원,월세_중앙값_만원,월환산주거비_중앙값_만원,아파트거래건수,오피스텔거래건수,연립다세대거래건수,단독다가구거래건수,표본상태,면적기준,평수기준,거래유형기준,행정동매핑기준,분석시작월,분석종료월,보증금환산율,지역,생활인프라점수,2030선호시설점수,교통접근성점수,접근성지수,주거가성비점수,가격_norm,HL_Score,주거표본판정,주거점수사용여부,HL산출유형,HL비교가능성,정책순위포함여부,HL정책비교순위
남구,봉선2동,30,77.0,134,30.0,598,64.0,112,135.0,2,757.0,0,,2,562.0,431,57.0,0,,2,697.0,2,787.0,5,353.0,8,117.0,3,293.0,0,,3,785.0,1,210.0,1,106.0,2,102.0,0,,11,272.0,64,175.0,12,317.0,2,89.0,85,27.2,봉선동,37,41500.0,27101,2323,2065,4388,16.19,남구,35,7,28,14785.71,1846.43,59.39,4434.29,65.99,52.39,15500.0,1000.0,62.5,67.5,3,30,2,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,남구 봉선2동,54.8,57.4,70.7,59.1,13.6,0.8642,45.5,정상,True,4개 영역 전체 반영,정상,True,17
남구,진월동,17,142.0,52,52.0,291,16.0,56,93.0,1,236.0,0,,0,,163,24.0,1,279.0,1,256.0,1,784.0,2,370.0,4,221.0,0,,0,,1,793.0,1,919.0,1,1449.0,1,1495.0,0,,5,1029.0,32,245.0,1,612.0,3,651.0,51,153.4,진월동,18,19850.0,26794,3242,2366,5608,20.93,남구,265,40,225,9837.6,866.44,38.27,2220.58,41.75,32.26,10500.0,300.0,38.0,40.83,102,130,33,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,남구 진월동,44.2,30.1,27.7,35.6,65.2,0.3476,44.5,정상,True,4개 영역 전체 반영,정상,True,19
남구,방림1동,24,181.0,168,117.0,582,122.0,71,132.0,2,326.0,0,,16,318.0,127,118.0,0,,0,,0,,2,432.0,5,436.0,4,367.0,0,,0,,2,1342.0,2,1046.0,2,1342.0,3,1422.0,23,273.0,78,27.0,21,246.0,5,935.0,124,67.9,방림동,8,32750.0,6097,558,697,1255,20.58,남구,7,3,4,15166.67,3500.0,43.75,8500.0,60.42,50.1,18500.0,4000.0,50.0,66.67,6,0,1,0,보통,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,남구 방림1동,57.6,58.7,85.1,63.9,25.4,0.7455,52.3,저표본 주의,True,4개 영역 전체 반영,저표본 주의,True,13
남구,효덕동,8,435.0,19,194.0,58,292.0,4,708.0,0,,0,,1,677.0,49,161.0,1,942.0,0,,0,,1,761.0,1,843.0,1,508.0,0,,0,,0,,1,492.0,0,,0,,3,315.0,12,3.0,0,,1,546.0,58,104.7,노대동|덕남동|행암동,9,22500.0,14725,1608,1850,3458,23.48,남구,277,1,276,15700.0,2805.08,13.61,2851.63,25.44,35.72,15700.0,2724.0,13.0,25.1,274,3,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,남구 효덕동,3.7,20.3,40.7,17.6,100.0,0.0,42.3,정상,True,4개 영역 전체 반영,정상,True,24
남구,송암동,10,82.0,27,10.0,89,13.0,15,40.0,0,,0,,1,707.0,47,24.0,0,,0,,1,147.0,1,47.0,1,47.0,1,924.0,0,,0,,0,,1,1042.0,0,,0,,8,333.0,30,771.0,2,427.0,2,1392.0,57,93.2,송하동|임암동,18,42900.0,20375,1769,3067,4836,23.73,남구,92,2,90,14900.0,3300.14,15.61,3552.32,30.07,37.81,14900.0,3184.0,11.0,28.59,92,0,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,남구 송암동,29.9,22.4,41.3,29.7,90.1,0.0987,47.8,정상,True,4개 영역 전체 반영,정상,True,15
북구,용봉동,41,185.0,165,111.0,607,199.0,29,561.0,2,608.0,0,,13,154.0,90,348.0,0,,2,361.0,1,624.0,12,352.0,28,353.0,2,670.0,0,,0,,4,875.0,4,816.0,1,360.0,3,1012.0,27,88.0,68,298.0,19,69.0,7,581.0,112,101.5,용봉동,16,21400.0,35625,6294,4226,10520,29.53,북구,104,7,97,10094.29,793.63,38.3,1419.63,41.64,34.81,8500.0,300.0,37.0,38.25,64,26,14,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,북구 용봉동,51.1,72.0,75.4,63.8,65.5,0.3453,64.3,정상,True,4개 영역 전체 반영,정상,True,4
북구,두암2동,20,163.0,59,22.0,316,21.0,50,194.0,2,396.0,0,,1,289.0,112,90.0,0,,1,536.0,1,391.0,2,80.0,8,22.0,4,195.0,0,,0,,1,1443.0,3,567.0,2,562.0,0,,23,288.0,34,343.0,11,234.0,4,545.0,77,94.1,두암동,16,10650.0,13809,1406,1331,2737,19.82,북구,1,0,1,,0.0,17.0,0.0,17.0,25.25,,0.0,17.0,17.0,0,0,1,0,주의,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,북구 두암2동,50.4,52.7,56.8,52.6,,,52.6,표본부족,False,주거비 제외·나머지 70% 재가중,제한,False,
북구,운암1동,24,129.0,105,96.0,434,94.0,73,125.0,0,,0,,17,107.0,213,117.0,0,,2,773.0,3,564.0,5,651.0,12,691.0,6,379.0,0,,0,,2,532.0,4,420.0,0,,0,,12,365.0,50,32.0,14,408.0,6,440.0,82,333.5,운암동,32,23250.0,17394,1832,1806,3638,20.92,북구,65,9,56,21055.56,1811.27,44.32,4475.86,56.83,38.83,22000.0,500.0,40.0,45.08,55,0,10,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,북구 운암1동,50.0,55.6,28.8,47.4,33.1,0.669,43.1,정상,True,4개 영역 전체 반영,정상,True,22
북구,첨단2동,31,14.0,117,10.0,574,99.0,66,110.0,1,133.0,0,,2,233.0,149,11.0,0,,3,291.0,3,133.0,3,725.0,15,344.0,1,833.0,0,,1,133.0,3,201.0,4,102.0,1,782.0,12,553.0,15,152.0,43,133.0,6,115.0,3,191.0,94,150.8,쌍암동|산월동|월계동,43,25800.0,39916,6348,5960,12308,30.83,광산구,794,146,648,9210.82,784.82,43.0,2334.18,44.82,26.63,9445.0,500.0,40.0,41.67,376,339,79,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,북구 첨단2동,59.7,73.1,59.8,64.5,58.7,0.413,62.8,정상,True,4개 영역 전체 반영,정상,True,7
북구,문흥1동,16,197.0,50,102.0,263,100.0,29,286.0,1,207.0,0,,1,705.0,122,82.0,0,,1,213.0,1,192.0,2,386.0,6,254.0,4,235.0,0,,0,,3,36.0,2,59.0,2,1150.0,2,976.0,17,154.0,33,84.0,4,86.0,6,186.0,64,70.5,문흥동,20,13000.0,14024,1583,1327,2910,20.75,북구,23,10,13,9100.0,1480.77,44.77,4793.48,45.28,50.14,9000.0,1000.0,45.0,46.17,22,1,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,북구 문흥1동,39.0,67.7,50.3,51.7,57.7,0.4228,53.5,정상,True,4개 영역 전체 반영,정상,True,12
광산구,첨단1동,46,96.0,163,20.0,801,22.0,73,25.0,2,456.0,0,,5,416.0,195,50.0,0,,3,336.0,4,113.0,3,317.0,16,305.0,3,319.0,0,,1,806.0,3,562.0,4,193.0,1,917.0,12,186.0,15,255.0,43,107.0,6,255.0,3,79.0,90,61.8,월계동,16,18500.0,26648,3781,3899,7680,28.82,광산구,382,94,288,13676.49,1162.65,49.99,4241.97,55.36,37.89,14650.0,547.0,45.0,54.17,174,189,19,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,광산구 첨단1동,63.8,71.8,69.2,67.8,36.2,0.6377,58.3,정상,True,4개 영역 전체 반영,정상,True,8
광산구,수완동,32,182.0,145,58.0,583,50.0,79,50.0,5,185.0,0,,4,184.0,361,139.0,0,,2,169.0,2,56.0,7,212.0,9,192.0,3,522.0,0,,2,179.0,3,733.0,4,677.0,7,853.0,2,894.0,60,634.0,79,359.0,11,586.0,8,728.0,70,46.9,수완동|장덕동|흑석동,61,47250.0,71925,9121,7522,16643,23.14,광산구,414,0,414,,3018.23,13.26,3018.23,25.84,45.16,,2858.0,13.0,26.43,414,0,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,광산구 수완동,65.2,70.3,58.0,65.5,99.1,0.0085,75.6,정상,True,4개 영역 전체 반영,정상,True,1
광산구,신가동,25,249.0,85,256.0,466,233.0,47,290.0,3,475.0,0,,4,804.0,189,206.0,1,615.0,1,899.0,1,875.0,3,816.0,7,352.0,2,718.0,0,,1,924.0,1,570.0,1,1061.0,0,,0,,11,178.0,31,564.0,8,642.0,2,1046.0,48,233.7,신가동,40,48450.0,18174,2374,2041,4415,24.29,광산구,13,0,13,,1126.0,34.77,1126.0,39.46,37.98,,500.0,32.0,32.83,13,0,0,0,보통,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,광산구 신가동,40.5,34.0,14.1,32.5,70.1,0.2988,43.8,저표본 주의,True,4개 영역 전체 반영,저표본 주의,True,20
광산구,우산동,34,43.0,73,43.0,318,87.0,37,43.0,1,83.0,0,,2,25.0,43,203.0,2,142.0,1,366.0,0,,4,365.0,11,366.0,7,44.0,0,,3,87.0,1,433.0,1,1097.0,3,140.0,8,236.0,16,70.0,19,237.0,3,1043.0,4,448.0,73,135.6,우산동,39,27850.0,27447,2901,4415,7316,26.66,광산구,520,127,393,11527.95,1020.67,36.06,3586.88,42.2,39.85,12000.0,300.0,37.0,41.04,471,49,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,광산구 우산동,57.1,57.4,48.6,55.4,64.3,0.3572,58.0,정상,True,4개 영역 전체 반영,정상,True,9
광산구,송정1동,20,132.0,64,33.0,365,42.0,37,124.0,1,589.0,3,170.0,3,343.0,45,131.0,0,,1,150.0,0,,0,,6,33.0,2,399.0,0,,0,,1,721.0,1,485.0,0,,0,,7,197.0,7,229.0,5,157.0,1,304.0,61,227.1,송정동,8,24250.0,9605,1308,926,2234,23.26,광산구,50,21,29,4871.9,344.83,38.31,2246.2,31.58,26.09,4630.0,300.0,35.0,33.04,29,15,6,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,광산구 송정1동,62.3,34.4,27.4,44.9,86.9,0.1309,57.5,정상,True,4개 영역 전체 반영,정상,True,10
