aptNm,aptSeq,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,umdNm,useRRRight,gu_name,lawd_cd,housing_type,transaction_type,query_ym,source_api,offiNm,sggNm,houseType,totalFloorAr,mhouseNm,주소키,위도,경도,검색주소,카카오매칭주소,공식자치구,공식행정동,행정동코드,매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,공식지역,프로젝트지역,지역,전용면적_m2,보증금_만원,월세_만원,검증용_월환산주거비
그린시아,29200-306,2013,26.05~27.05,신규,7,5,2026,100,13.73,7,1015-9,32,,,수등로258번길 4-6,0,00004,00006,4289329,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202605,아파트 전월세,,,,,,광산구|신가동|1015-9|수등로258번길 4-6|00004|00006,35.1848342859556,126.836305801708,광주광역시 광산구 신가동 1015-9,전남광주통합특별시 광산구 수등로258번길 4-6,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,13.73,100,32,32.416666666666664
,,2016,25.07~27.07,신규,18,7,2025,500,29.44,2,756-37,48,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202507,연립다세대 전월세,,,연립,,에스팰리스,서구|화정동|756-37|||,35.1485347722149,126.877566043078,광주광역시 서구 화정동 756-37,전남광주통합특별시 서구 화운로99번길 19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,29.44,500,48,50.083333333333336
,,2016,25.07~26.07,신규,17,7,2025,500,29.44,2,756-37,48,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202507,연립다세대 전월세,,,연립,,에스팰리스,서구|화정동|756-37|||,35.1485347722149,126.877566043078,광주광역시 서구 화정동 756-37,전남광주통합특별시 서구 화운로99번길 19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,29.44,500,48,50.083333333333336
,,2001,25.08~28.02,신규,25,7,2025,"1,000",33.558,3,447-15,25,,,,,,,,,,12270,방림동,,남구,12270,연립다세대,전월세,202507,연립다세대 전월세,,,다세대,,금강빌라,남구|방림동|447-15|||,35.1318791473635,126.917307568433,광주광역시 남구 방림동 447-15,전남광주통합특별시 남구 용대로 177-9,남구,방림1동,1227052000,성공,남구,방림1동,True,남구 방림1동,남구 방림1동,남구 방림1동,33.558,1000,25,29.166666666666668
,,2016,25.08~26.08,신규,15,8,2025,200,24.32,2,756-37,42,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202508,연립다세대 전월세,,,연립,,에스팰리스,서구|화정동|756-37|||,35.1485347722149,126.877566043078,광주광역시 서구 화정동 756-37,전남광주통합특별시 서구 화운로99번길 19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,24.32,200,42,42.833333333333336
,,2016,25.08~26.08,신규,25,8,2025,300,17.86,4,756-37,39,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202508,연립다세대 전월세,,,연립,,에스팰리스,서구|화정동|756-37|||,35.1485347722149,126.877566043078,광주광역시 서구 화정동 756-37,전남광주통합특별시 서구 화운로99번길 19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,17.86,300,39,40.25
,,2016,25.08~26.08,신규,12,8,2025,500,22.98,4,756-37,44,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202508,연립다세대 전월세,,,연립,,에스팰리스,서구|화정동|756-37|||,35.1485347722149,126.877566043078,광주광역시 서구 화정동 756-37,전남광주통합특별시 서구 화운로99번길 19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,22.98,500,44,46.083333333333336
,,2016,25.09~26.01,신규,28,9,2025,300,25.03,4,756-37,55,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202509,연립다세대 전월세,,,연립,,에스팰리스,서구|화정동|756-37|||,35.1485347722149,126.877566043078,광주광역시 서구 화정동 756-37,전남광주통합특별시 서구 화운로99번길 19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,25.03,300,55,56.25
,,2016,25.11~26.10,신규,9,10,2025,500,29.44,2,756-37,53,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202510,연립다세대 전월세,,,연립,,에스팰리스,서구|화정동|756-37|||,35.1485347722149,126.877566043078,광주광역시 서구 화정동 756-37,전남광주통합특별시 서구 화운로99번길 19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,29.44,500,53,55.083333333333336
,,2016,26.04~27.04,신규,1,1,2026,300,24.32,2,756-37,42,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202601,연립다세대 전월세,,,연립,,에스팰리스,서구|화정동|756-37|||,35.1485347722149,126.877566043078,광주광역시 서구 화정동 756-37,전남광주통합특별시 서구 화운로99번길 19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,24.32,300,42,43.25
,,2002,26.01~26.07,갱신,18,1,2026,"3,500",46.32,1,1168,0,"3,500",,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202601,연립다세대 전월세,,,다세대,,염주빌라,서구|화정동|1168|||,35.1425623258155,126.882082522475,광주광역시 서구 화정동 1168,전남광주통합특별시 서구 월드컵4강로42번길 57-19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,46.32,3500,0,14.583333333333334
,,2002,26.05~28.05,신규,19,4,2026,"2,870",28.71,3,1168,4,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202604,연립다세대 전월세,,,다세대,,염주빌라,서구|화정동|1168|||,35.1425623258155,126.882082522475,광주광역시 서구 화정동 1168,전남광주통합특별시 서구 월드컵4강로42번길 57-19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,28.71,2870,4,15.958333333333334
,,2002,26.05~28.05,신규,19,4,2026,"3,000",28.71,3,1168,0,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202604,연립다세대 전월세,,,다세대,,염주빌라,서구|화정동|1168|||,35.1425623258155,126.882082522475,광주광역시 서구 화정동 1168,전남광주통합특별시 서구 월드컵4강로42번길 57-19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,28.71,3000,0,12.5
,,2002,26.05~28.05,신규,19,4,2026,"3,000",28.71,3,1168,4,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202604,연립다세대 전월세,,,다세대,,염주빌라,서구|화정동|1168|||,35.1425623258155,126.882082522475,광주광역시 서구 화정동 1168,전남광주통합특별시 서구 월드컵4강로42번길 57-19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,28.71,3000,4,16.5
,,2001,26.05~27.05,신규,14,5,2026,200,22.44,1,1411,25,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202605,연립다세대 전월세,,,다세대,,화정빌리지,서구|화정동|1411|||,35.1431179253936,126.887583701894,광주광역시 서구 화정동 1411,전남광주통합특별시 서구 군분로129번길 15-9,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,22.44,200,25,25.833333333333332
,,2002,26.06~26.08,신규,23,5,2026,0,25.25,2,833-28,17,,,,,,,,,,12300,두암동,,북구,12300,연립다세대,전월세,202605,연립다세대 전월세,,,다세대,,내동원룸,북구|두암동|833-28|||,35.1735232493754,126.929553685759,광주광역시 북구 두암동 833-28,전남광주통합특별시 북구 동문대로134번길 57,북구,두암2동,1230066200,성공,북구,두암2동,True,북구 두암2동,북구 두암2동,북구 두암2동,25.25,0,17,17.0
