aptNm,aptSeq,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,umdNm,useRRRight,gu_name,lawd_cd,housing_type,transaction_type,query_ym,source_api,offiNm,sggNm,houseType,totalFloorAr,mhouseNm,주소키,위도,경도,검색주소,카카오매칭주소,공식자치구,공식행정동,행정동코드,매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,공식지역,프로젝트지역,보증금_만원,월세_만원,전용면적_m2,주소_정규화,공공임대주소일치
효천엘에이치천년나무7단지,29155-391,2017,25.07~27.08,갱신,21,7,2025,"2,217",26.54,12,713,12,"1,380",8,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,2217,12,26.54,남구 행암길 9,True
효천엘에이치천년나무7단지,29155-391,2017,25.07~27.08,신규,21,7,2025,"2,478",26.54,15,713,14,,,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,2478,14,26.54,남구 행암길 9,True
효천엘에이치천년나무7단지,29155-391,2017,25.08~27.07,갱신,31,7,2025,"1,721",16.99,3,713,6,"1,387",8,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,1721,6,16.99,남구 행암길 9,True
엘에이치송화마을8단지,29155-395,2018,25.08~27.07,갱신,30,7,2025,"4,816",36.72,2,825,7,"2,844",16,노대실로 9,0,00009,00000,3161003,0,12270,12270,노대동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|노대동|825|노대실로 9|00009|00000,35.1088035081054,126.905394245253,광주광역시 남구 노대동 825,전남광주통합특별시 남구 노대실로 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,4816,7,36.72,남구 노대실로 9,True
엘에이치송화마을8단지,29155-395,2018,25.08~27.07,갱신,23,7,2025,"1,816",36.72,7,825,19,"2,686",15,노대실로 9,0,00009,00000,3161003,0,12270,12270,노대동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|노대동|825|노대실로 9|00009|00000,35.1088035081054,126.905394245253,광주광역시 남구 노대동 825,전남광주통합특별시 남구 노대실로 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,1816,19,36.72,남구 노대실로 9,True
효천엘에이치천년나무7단지,29155-391,2017,25.08~27.07,갱신,30,7,2025,737,44.78,14,713,30,"12,237",6,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,737,30,44.78,남구 행암길 9,True
효천엘에이치천년나무7단지,29155-391,2017,25.08~27.07,갱신,30,7,2025,"5,170",36.81,4,713,8,"3,078",17,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,5170,8,36.81,남구 행암길 9,True
송화마을휴먼시아(진월4블럭주공),29155-305,2007,25.07~27.08,신규,23,7,2025,"3,058",39.75,5,734,7,,,효우로60번길 9,0,00009,00000,4283741,1,12270,12270,노대동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|노대동|734|효우로60번길 9|00009|00000,35.1076086354032,126.903198596274,광주광역시 남구 노대동 734,전남광주통합특별시 남구 효우로60번길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,3058,7,39.75,남구 효우로60번길 9,True
엘에이치송화마을8단지,29155-395,2018,25.08~27.07,갱신,29,7,2025,"1,364",16.85,5,825,8,"1,339",8,노대실로 9,0,00009,00000,3161003,0,12270,12270,노대동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|노대동|825|노대실로 9|00009|00000,35.1088035081054,126.905394245253,광주광역시 남구 노대동 825,전남광주통합특별시 남구 노대실로 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,1364,8,16.85,남구 노대실로 9,True
엘에이치송화마을8단지,29155-395,2018,25.07~27.08,신규,23,7,2025,"2,988",36.72,8,825,17,,,노대실로 9,0,00009,00000,3161003,0,12270,12270,노대동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|노대동|825|노대실로 9|00009|00000,35.1088035081054,126.905394245253,광주광역시 남구 노대동 825,전남광주통합특별시 남구 노대실로 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,2988,17,36.72,남구 노대실로 9,True
