hsmpSn,공급유형,대표세대수,원본행수,원본자치구,주소수,주소,전용면적_최소,전용면적_최대,공식자치구,공식행정동,프로젝트자치구,프로젝트행정동,25개동포함여부
31350930,매입임대,28.0,2,광산구,1,전남광주통합특별시 광산구 송도로212번길 15,32.13,33.09,광산구,도산동,광산구,도산동,False
31350931,매입임대,18.0,3,광산구,1,전남광주통합특별시 광산구 송도로212번길 15,64.74,82.49,광산구,도산동,광산구,도산동,False
31371456,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 효우2로 89,74.95,74.95,남구,송암동,남구,송암동,True
31371457,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 효우2로 21,84.95,84.95,남구,효덕동,남구,효덕동,True
31371458,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 목련로 15,59.9538,59.9538,광산구,하남동,광산구,하남동,False
31371460,매입임대,3.0,1,서구,1,전남광주통합특별시 서구 동천로18번길 19,75.72,75.72,서구,동천동,서구,동천동,False
31371461,매입임대,1.0,1,서구,1,전남광주통합특별시 서구 동천로18번길 19,84.95,84.95,서구,동천동,서구,동천동,False
31371462,매입임대,17.0,2,서구,1,전남광주통합특별시 서구 내방로 337,54.6212,55.5192,서구,화정1동,서구,화정1동,False
31371465,매입임대,1.0,1,동구,1,전남광주통합특별시 동구 남문로 307,59.9711,59.9711,동구,지원2동,동구,지원2동,False
31371466,매입임대,1.0,1,서구,1,전남광주통합특별시 서구 시청로 92,84.5643,84.5643,서구,치평동,서구,치평동,True
31371468,매입임대,1.0,1,북구,1,전남광주통합특별시 북구 첨단연신로 166,60.4624,60.4624,북구,신용동,북구,신용동,False
31371469,매입임대,3.0,3,광산구,1,전남광주통합특별시 광산구 무진대로 278-11,59.8957,84.9827,광산구,우산동,광산구,우산동,True
31371470,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 소촌로 100,59.8957,59.8957,광산구,어룡동,광산구,어룡동,False
31371471,매입임대,2.0,1,광산구,1,전남광주통합특별시 광산구 목련로 15,59.9954,59.9954,광산구,하남동,광산구,하남동,False
31371472,매입임대,1.0,1,서구,1,전남광주통합특별시 서구 동천로18번길 19,84.95,84.95,서구,동천동,서구,동천동,False
31371473,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 효우2로 21,84.98,84.98,남구,효덕동,남구,효덕동,True
31371474,매입임대,2.0,1,북구,1,전남광주통합특별시 북구 군왕로 311,84.889,84.889,북구,문화동,북구,문화동,False
31371475,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 선운중앙로 45,79.5181,79.5181,광산구,어룡동,광산구,어룡동,False
31371476,매입임대,2.0,2,광산구,1,전남광주통합특별시 광산구 목련로 41,70.6751,84.8198,광산구,하남동,광산구,하남동,False
31371478,매입임대,1.0,1,동구,1,전남광주통합특별시 동구 남문로 307,78.2705,78.2705,동구,지원2동,동구,지원2동,False
31371479,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 노대실로 33,84.88,84.88,남구,효덕동,남구,효덕동,True
31371480,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 노대실로 33,84.93,84.93,남구,효덕동,남구,효덕동,True
31371481,매입임대,3.0,2,광산구,1,전남광주통합특별시 광산구 무진대로 278-11,49.25,52.5728,광산구,우산동,광산구,우산동,True
31371482,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 목련로 41,84.8198,84.8198,광산구,하남동,광산구,하남동,False
31371483,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 목련로 15,59.9102,59.9102,광산구,하남동,광산구,하남동,False
31371485,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 효우2로 45,84.82,84.82,남구,효덕동,남구,효덕동,True
31371486,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 노대실로 89,84.87,84.87,남구,효덕동,남구,효덕동,True
31371487,매입임대,3.0,3,북구,1,전남광주통합특별시 북구 서강로 38,74.99,74.99,북구,운암1동,북구,운암1동,True
31371488,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 목련로 41,84.8198,84.8198,광산구,하남동,광산구,하남동,False
31371489,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 신창로161번길 34,59.748,59.748,광산구,신창동,광산구,신창동,False
31371493,매입임대,1.0,1,서구,1,전남광주통합특별시 서구 동천로 11,84.99,84.99,서구,동천동,서구,동천동,False
31371494,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 노대실로 33,75.77,75.77,남구,효덕동,남구,효덕동,True
31371495,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 소촌로 100,59.8957,59.8957,광산구,어룡동,광산구,어룡동,False
