시설명,시설유형,기관분류,주소,자치구,출처,출처URL,수집기준,수집일,위도,경도,카카오검색주소,지오코딩상태,좌표보완방식,좌표보완검색어,공식자치구,공식행정동,행정동코드,행정동매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,원본자치구_좌표자치구_일치
글빛마루정원,기타공간,공공,광주 남구 천변좌로338번길 7 (구동) 빛고을아트스페이스 2층,남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1479055222584,126.907896870694,전남광주통합특별시 남구 천변좌로338번길 7,성공,,,남구,사직동,1227054500,성공,남구,사직동,False,True
남구 청년 따순 주먹밥 쉼터 2호점,기타공간,공공,광주 남구 구성로38번길 10 (월산동) 달뫼커뮤니티센터 3층,남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1513958113727,126.900975996329,전남광주통합특별시 남구 구성로38번길 10,성공,,,남구,월산동,1227060500,성공,남구,월산동,False,True
남구 청년 따순 주먹밥 쉼터 3호점,기타공간,공공,"광주 남구 용대로 91 (봉선동, 인애종합사회복지관) 별관",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.124545426857,126.917642684131,전남광주통합특별시 남구 용대로 91,성공,,,남구,봉선2동,1227053800,성공,남구,봉선2동,True,True
남구문화정보도서관,기타공간,공공,"광주 남구 봉선로 208 (봉선동, 남구종합문화예술회관(남구청소년수련관)) 5층",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1220342708818,126.917313569562,전남광주통합특별시 남구 봉선로 208,성공,,,남구,봉선2동,1227053800,성공,남구,봉선2동,True,True
남구청 북카페,기타공간,공공,"광주 남구 봉선로 1 (봉선동, 남구청) 1층 민원봉사과 앞",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1327995691901,126.902451218247,전남광주통합특별시 남구 봉선로 1,성공,,,남구,봉선1동,1227053700,성공,남구,봉선1동,False,True
남구청소년도서관,기타공간,공공,"광주 남구 제석로 100 (봉선동, 남구 청소년도서관)",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1233993503613,126.907886067368,전남광주통합특별시 남구 제석로 100,성공,,,남구,봉선2동,1227053800,성공,남구,봉선2동,True,True
달뫼 작은도서관,기타공간,공공,광주 남구 구성로38번길 10 (월산동) 달뫼커뮤니티센터 2층,남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1513958113727,126.900975996329,전남광주통합특별시 남구 구성로38번길 10,성공,,,남구,월산동,1227060500,성공,남구,월산동,False,True
방림1동 작은도서관,기타공간,공공,"광주 남구 오방로 101-2 (방림동, 방림1동 행정복지센터) 꽃마을작은도서관",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1343516045751,126.918263607283,전남광주통합특별시 남구 오방로 101-2,성공,,,남구,방림1동,1227052000,성공,남구,방림1동,True,True
방림2동 작은도서관,기타공간,공공,광주 남구 큰방림길 36 (방림동) 고맙습니다 방림2동 작은도서관,남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1319331452,126.922782082199,전남광주통합특별시 남구 큰방림길 36,성공,,,남구,방림2동,1227053000,성공,남구,방림2동,False,True
방림2동 커뮤니티센터,기타공간,공공,"광주 남구 천변좌로566번다길 12 (방림동, 방림2동 행정복지센터)",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1319309313062,126.921999235064,전남광주통합특별시 남구 천변좌로566번다길 12,성공,,,남구,방림2동,1227053000,성공,남구,방림2동,False,True
백운1동 커뮤니티센터,기타공간,공공,광주 남구 백운로 45-2 (백운동),남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1374337806666,126.906613997913,전남광주통합특별시 남구 백운로 45-2,성공,,,남구,백운1동,1227067000,성공,남구,백운1동,False,True
백운2동 커뮤니티센터,기타공간,공공,광주 남구 백운로21번길 3 (백운동),남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1357073828733,126.908361907686,전남광주통합특별시 남구 백운로21번길 3,성공,,,남구,백운2동,1227068000,성공,남구,백운2동,False,True
백운2동 행정복지센터,기타공간,공공,"광주 남구 진다리로6번길 9 (백운동, 백운2동 행정복지센터)",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1361014209336,126.902312976372,전남광주통합특별시 남구 진다리로6번길 9,성공,,,남구,백운2동,1227068000,성공,남구,백운2동,False,True
봉선1동 작은도서관,기타공간,공공,"광주 남구 봉선로51번길 21 (봉선동, 봉선1동 행정복지센터) 노들행복작은도서관",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.129367917141,126.906711638123,전남광주통합특별시 남구 봉선로51번길 21,성공,,,남구,봉선1동,1227053700,성공,남구,봉선1동,False,True
봉선2동 작은도서관,기타공간,공공,"광주 남구 봉선로 189 (봉선동, 봉선2동 행정복지센터)",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1232701011604,126.915827862233,전남광주통합특별시 남구 봉선로 189,성공,,,남구,봉선2동,1227053800,성공,남구,봉선2동,True,True
사직동 행정복지센터,기타공간,공공,"광주 남구 중앙로95번길 14 (서동, 사직동 행정복지센터)",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1457468479514,126.908009809029,전남광주통합특별시 남구 중앙로95번길 14,성공,,,남구,사직동,1227054500,성공,남구,사직동,False,True
양림동 역사문화작은도서관,기타공간,공공,"광주 남구 백서로 94 (양림동, 양림커뮤니티센터)",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1405073777836,126.916423518736,전남광주통합특별시 남구 백서로 94,성공,,,남구,양림동,1227051000,성공,남구,양림동,False,True
월산4동 작은도서관,기타공간,공공,"광주 남구 대남대로390번길 11 (월산동, 월산4동행정복지센터)",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1466911268811,126.890764741405,전남광주통합특별시 남구 대남대로390번길 11,성공,,,남구,월산4동,1227063000,성공,남구,월산4동,False,True
