gu_name,dong_name,lat,lng,category_name,place_count,min_distance_m,collected_at
서구,치평동,35.1532,126.8521,탑텐,1,96.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,편의점,18,139.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,카페,49,112.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,음식점,228,100.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,병원,31,141.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,대형마트,2,200.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,지하철역,0,,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,문화시설,5,451.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,학원,102,138.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,버스정류장,0,,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,올리브영,2,189.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,다이소,2,188.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,코인노래방,2,223.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,PC방,5,157.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,백화점,2,636.0,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,유니클로,0,,2026-09-04 11:30:46
서구,풍암동,35.1275,126.8773,탑텐,2,630.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,편의점,28,103.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,카페,156,83.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,음식점,559,109.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,병원,74,224.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,대형마트,0,,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,지하철역,2,566.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,문화시설,6,437.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,학원,193,132.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,버스정류장,0,,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,올리브영,1,876.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,다이소,1,885.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,코인노래방,3,318.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,PC방,14,253.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,백화점,4,902.0,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,유니클로,0,,2026-09-04 11:30:46
서구,화정2동,35.1485,126.8812,탑텐,0,,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,편의점,34,157.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,카페,138,147.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,음식점,419,112.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,병원,104,143.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,대형마트,1,462.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,지하철역,3,326.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,문화시설,8,278.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,학원,85,110.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,버스정류장,0,,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,올리브영,1,494.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,다이소,3,465.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,코인노래방,2,293.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,PC방,9,479.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,백화점,191,371.0,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,유니클로,0,,2026-09-04 11:30:46
서구,농성1동,35.1558,126.8856,탑텐,2,465.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,편의점,26,176.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,카페,65,76.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,음식점,369,69.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,병원,59,70.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,대형마트,1,235.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,지하철역,0,,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,문화시설,6,663.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,학원,140,114.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,버스정류장,0,,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,올리브영,1,669.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,다이소,0,,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,코인노래방,3,520.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,PC방,6,166.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,백화점,3,457.0,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,유니클로,0,,2026-09-04 11:30:46
서구,금호1동,35.1381,126.8584,탑텐,0,,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,편의점,30,77.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,카페,134,30.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,음식점,598,64.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,병원,112,135.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,대형마트,2,757.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,지하철역,0,,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,문화시설,2,562.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,학원,431,57.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,버스정류장,0,,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,올리브영,2,697.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,다이소,2,787.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,코인노래방,5,353.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,PC방,8,117.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,백화점,3,293.0,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,유니클로,0,,2026-09-04 11:30:46
남구,봉선2동,35.1261,126.907,탑텐,3,785.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,편의점,17,142.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,카페,52,52.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,음식점,291,16.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,병원,56,93.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,대형마트,1,236.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,지하철역,0,,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,문화시설,0,,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,학원,163,24.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,버스정류장,1,279.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,올리브영,1,256.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,다이소,1,784.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,코인노래방,2,370.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,PC방,4,221.0,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,백화점,0,,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,유니클로,0,,2026-09-04 11:30:46
남구,진월동,35.1189,126.8968,탑텐,1,793.0,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,편의점,24,181.0,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,카페,168,117.0,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,음식점,582,122.0,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,병원,71,132.0,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,대형마트,2,326.0,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,지하철역,0,,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,문화시설,16,318.0,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,학원,127,118.0,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,버스정류장,0,,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,올리브영,0,,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,다이소,0,,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,코인노래방,2,432.0,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,PC방,5,436.0,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,백화점,4,367.0,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,유니클로,0,,2026-09-04 11:30:46
남구,방림1동,35.1352,126.9112,탑텐,0,,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,편의점,8,435.0,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,카페,19,194.0,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,음식점,58,292.0,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,병원,4,708.0,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,대형마트,0,,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,지하철역,0,,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,문화시설,1,677.0,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,학원,49,161.0,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,버스정류장,1,942.0,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,올리브영,0,,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,다이소,0,,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,코인노래방,1,761.0,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,PC방,1,843.0,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,백화점,1,508.0,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,유니클로,0,,2026-09-04 11:30:46
남구,효덕동,35.1118,126.8891,탑텐,0,,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,편의점,10,82.0,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,카페,27,10.0,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,음식점,89,13.0,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,병원,15,40.0,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,대형마트,0,,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,지하철역,0,,2026-09-04 11:30:46
