"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"89","전남광주통합특별시 목포시 북교동","243","0243","0000","두레마을","전세","71.5800","202412","16","3,000","0","4","1999","차범석길 12-1","202501~202701","신규","-","","","연립다세대"
"90","전남광주통합특별시 북구 중흥동","710-25","0710","0025","(710-25)","전세","21.4300","202412","16","4,725","0","5","2013","경양로 149-1","202412~202612","신규","-","","","연립다세대"
"91","전남광주통합특별시 여수시 웅천동","1815-1","1815","0001","웅천골드클래스테라스힐","전세","84.9181","202412","16","33,000","0","2","2021","웅천북2로 81","202412~202612","갱신","사용","33,000","0","연립다세대"
"92","전남광주통합특별시 북구 중흥동","710-25","0710","0025","(710-25)","전세","21.4300","202412","16","4,725","0","5","2013","경양로 149-1","202412~202612","신규","-","","","연립다세대"
"93","전남광주통합특별시 장흥군 장흥읍 원도리","300-11","0300","0011","동산주택(나)","월세","59.9700","202412","16","0","50","4","1994","문림로 48","202412~202512","신규","-","","","연립다세대"
"94","전남광주통합특별시 동구 동명동","18-2","0018","0002","골든시티빌","전세","27.1500","202412","16","6,000","0","3","2013","동명로82번길 7","202501~202701","신규","-","","","연립다세대"
"95","전남광주통합특별시 여수시 국동","1082-43","1082","0043","(해오름빌1082-43)","월세","85.6500","202412","15","500","50","2","2010","어항단지로 63-11","202412~202512","신규","-","","","연립다세대"
"96","전남광주통합특별시 동구 지산동","691-3","0691","0003","이화","월세","62.1450","202412","15","1,000","40","4","1982","지호로 40","202412~202612","신규","-","","","연립다세대"
"97","전남광주통합특별시 영광군 영광읍 백학리","381-23","0381","0023","영일","월세","55.7100","202412","15","500","45","2","1986","신남로5길 15","202412~202612","신규","-","","","연립다세대"
"98","전남광주통합특별시 화순군 화순읍 유천리","389-3","0389","0003","화순세종만연가1동","전세","39.6610","202412","15","7,700","0","1","2017","유천길 25-4","202412~202612","신규","-","","","연립다세대"
"99","전남광주통합특별시 여수시 소호동","1232","1232","0000","여수금호어울림오션테라스","월세","101.0192","202412","15","3,000","120","-1","2023","소호로 267","202503~202702","신규","-","","","연립다세대"
"100","전남광주통합특별시 북구 북동","40-28","0040","0028","기뻐하며","전세","14.4275","202412","15","4,000","0","3","2012","금재로36번길 75","202502~202701","갱신","-","4,000","0","연립다세대"
"101","전남광주통합특별시 장흥군 장흥읍 건산리","488-1","0488","0001","아이지센트럴파크","월세","63.2921","202412","15","1,000","65","1","2016","의향길 34","202412~202512","신규","-","","","연립다세대"
"102","전남광주통합특별시 광산구 쌍암동","668-13","0668","0013","JuneHouse","월세","25.4200","202412","15","300","39","3","2013","첨단중앙로152번길 6-17","202412~202512","신규","-","","","연립다세대"
"103","전남광주통합특별시 순천시 석현동","183-24","0183","0024","시인공간","월세","24.2200","202412","14","200","38","3","2015","삼산로 22-7","202412~202512","신규","-","","","연립다세대"
"104","전남광주통합특별시 광산구 산정동","1146","1146","0000","어등산한양수자인테라스플러스","전세","84.9317","202412","14","27,000","0","3","2021","여대길 340","202501~202701","신규","-","","","연립다세대"
"105","전남광주통합특별시 동구 학동","1021","1021","0000","모아미래도타운","전세","84.9484","202412","14","28,000","0","2","2016","의재로33번길 34","202502~202702","갱신","사용","28,000","0","연립다세대"
"106","전남광주통합특별시 서구 쌍촌동","1004-10","1004","0010","가도스타디움","월세","16.0712","202412","14","300","35","4","2012","상무대로884번길 17-4","202501~202601","신규","-","","","연립다세대"
"107","전남광주통합특별시 광산구 쌍암동","694-134","0694","0134","금강빌라","월세","19.6000","202412","14","300","35","2","2013","임방울대로826번길 19-39","202412~202512","신규","-","","","연립다세대"
"108","전남광주통합특별시 동구 학동","1021","1021","0000","모아미래도타운","전세","84.9484","202412","14","28,000","0","2","2016","의재로33번길 34","202502~202702","갱신","사용","28,000","0","연립다세대"
"109","전남광주통합특별시 여수시 광무동","1060","1060","0000","여수브리온오션프랑테라스","월세","84.7880","202412","14","5,000","100","4","2025","광무남2길 2-8","202412~202612","신규","-","","","연립다세대"
"110","전남광주통합특별시 목포시 산정동","224-1","0224","0001","삼호빌라","전세","65.5200","202412","13","3,500","0","2","1990","연산로 58-1","-","-","-","","","연립다세대"
"111","전남광주통합특별시 광산구 쌍암동","694-23","0694","0023","샤넬타운","월세","39.9200","202412","13","3,000","45","5","2014","임방울대로826번길 7-14","202412~202512","신규","-","","","연립다세대"
